sl,PubChem_CID,drugbank_id,name,inchikey,inchi,description,smiles,logP,DIRIL_Rank,2023 ATC Search Name,2023 DDD,2023 Unit
164,104850,DB06155,Rimonabant,JZCPYUJPEARBJL-UHFFFAOYSA-N,"InChI=1S/C22H21Cl3N4O/c1-14-20(22(30)27-28-11-3-2-4-12-28)26-29(19-10-9-17(24)13-18(19)25)21(14)15-5-7-16(23)8-6-15/h5-10,13H,2-4,11-12H2,1H3,(H,27,30)","Rimonabant is an anorectic anti-obesity drug produced and marketed by Sanofi-Aventis. It is an inverse agonist for the cannabinoid receptor CB1. Its main avenue of effect is reduction in appetite. Rimonabant is the first selective CB1 receptor blocker to be approved for use anywhere in the world. Rimonabant is approved in 38 countries including the E.U., Mexico, and Brazil. It was rejected for approval for use in the United States. This decision was made after a U.S. advisory panel recommended the medicine not be approved because it may increase suicidal thinking and depression.",CC1=C(N(N=C1C(=O)NN1CCCCC1)C1=C(Cl)C=C(Cl)C=C1)C1=CC=C(Cl)C=C1,,Non-Nephrotoxic,Rimonabant,20,mg
165,44093,DB01197,Captopril,FAKRSMQSSFJEIM-RQJHMYQMSA-N,"InChI=1S/C9H15NO3S/c1-6(5-14)8(11)10-4-2-3-7(10)9(12)13/h6-7,14H,2-5H2,1H3,(H,12,13)/t6-,7+/m1/s1","Captopril is a potent, competitive inhibitor of angiotensin-converting enzyme (ACE), the enzyme responsible for the conversion of angiotensin I (ATI) to angiotensin II (ATII). ATII regulates blood pressure and is a key component of the renin-angiotensin-aldosterone system (RAAS). Captopril may be used in the treatment of hypertension.",C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,0.34,Nephrotoxic,Captopril,50,mg
166,5282379,DB00982,Isotretinoin,SHGAZHPCJJPHSC-XFYACQKRSA-N,"InChI=1S/C20H28O2/c1-15(8-6-9-16(2)14-19(21)22)11-12-18-17(3)10-7-13-20(18,4)5/h6,8-9,11-12,14H,7,10,13H2,1-5H3,(H,21,22)/b9-6+,12-11+,15-8+,16-14-","Isotretinoin is a retinoid derivative of vitamin A used in the treatment of severe recalcitrant acne.[Label] It was most widely marketed under the brand name Accutane, which has since been discontinued.[L6574] Isotretinoin is associated with major risks in pregnancy and is therefore only available under the iPLEDGE program in the United States.[L6579] The first isotretinoin-containing product was FDA approved on 7 May 1982.[L6574]",C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C\C(O)=O,5.66,Nephrotoxic,Isotretinoin,30,mg
167,6335986,DB01416,Cefpodoxime,WYUSVOMTXWRGEK-HBWVYFAYSA-N,"InChI=1S/C15H17N5O6S2/c1-25-3-6-4-27-13-9(12(22)20(13)10(6)14(23)24)18-11(21)8(19-26-2)7-5-28-15(16)17-7/h5,9,13H,3-4H2,1-2H3,(H2,16,17)(H,18,21)(H,23,24)/b19-8-/t9-,13-/m1/s1","Cefpodoxime is an oral third generation cephalosporin antibiotic with effectiveness against most Gram positive and Gram negative bacteria. Commonly used to treat acute otitis media, pharyngitis, and sinusitis, cefpodoxime proxetil is a prodrug which is absorbed and de-esterified by the intestinal mucosa to Cefpodoxime.",[H][C@]12SCC(COC)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,,Nephrotoxic,Cefpodoxime,0.4,g
168,5002,DB01224,Quetiapine,URKOMYMAXPYINW-UHFFFAOYSA-N,"InChI=1S/C21H25N3O2S/c25-14-16-26-15-13-23-9-11-24(12-10-23)21-17-5-1-3-7-19(17)27-20-8-4-2-6-18(20)22-21/h1-8,25H,9-16H2","Initially approved by the FDA in 1997, quetiapine is a second-generation atypical antipsychotic used in schizophrenia, major depression, and bipolar disorder.[L8546] Quetiapine demonstrates a high level of therapeutic efficacy and low risk of adverse effects during long-term treatment. It is well-tolerated and a suitable option for some patients with high sensitivity to other drugs, such as [Clozapine] and [Olanzapine].[A2189]",OCCOCCN1CCN(CC1)C1=NC2=CC=CC=C2SC2=CC=CC=C12,2.81,Nephrotoxic,Quetiapine,0.4,g
169,3152,DB00843,Donepezil,ADEBPBSSDYVVLD-UHFFFAOYSA-N,"InChI=1S/C24H29NO3/c1-27-22-14-19-13-20(24(26)21(19)15-23(22)28-2)12-17-8-10-25(11-9-17)16-18-6-4-3-5-7-18/h3-7,14-15,17,20H,8-13,16H2,1-2H3","In 2016, the global burden of dementia was estimated to be 43.8 million, demonstrating a significant increase from a global prevalence of 20.2 million in 1990.[A182411] Donepezil, also known as Aricept, is a piperidine derivative acetylcholinesterase inhibitor used in the management of the dementia of Alzheimer's Disease, and in some cases, is used to manage other types of dementia. 

Donepezil was first approved by the FDA in 1996, and its extended-release form was approved in combination with [Memantine] in 2014 to manage moderate and severe forms of Alzheimer's dementia.[L7916,L7937] A donepezil transdermal delivery system, Adlarity, was approved by the FDA in March 2022 for the treatment of Alzheimer's dementia.[L41125] Though it does not alter the progression of Alzheimer's disease, donepezil is effective in managing the symptoms of its associated dementia.[T668]",COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,4.7,Non-Nephrotoxic,Donepezil,7.5,mg
170,53232,DB00227,Lovastatin,PCZOHLXUXFIOCF-BXMDZJJMSA-N,"InChI=1S/C24H36O5/c1-5-15(3)24(27)29-21-11-14(2)10-17-7-6-16(4)20(23(17)21)9-8-19-12-18(25)13-22(26)28-19/h6-7,10,14-16,18-21,23,25H,5,8-9,11-13H2,1-4H3/t14-,15-,16-,18+,19+,20-,21-,23-/m0/s1","Lovastatin, also known as the brand name product Mevacor, is a lipid-lowering drug and fungal metabolite derived synthetically from a fermentation product of _Aspergillus terreus_.[A174550] Originally named Mevinolin, lovastatin belongs to the statin class of medications, which are used to lower the risk of cardiovascular disease and manage abnormal lipid levels by inhibiting the endogenous production of cholesterol in the liver.[A174553] More specifically, statin medications competitively inhibit the enzyme hydroxymethylglutaryl-coenzyme A (HMG-CoA) Reductase,[A181421] which catalyzes the conversion of HMG-CoA to mevalonic acid and is the third step in a sequence of metabolic reactions involved in the production of several compounds involved in lipid metabolism and transport including cholesterol, low-density lipoprotein (LDL) (sometimes referred to as ""bad cholesterol""), and very low-density lipoprotein (VLDL). Prescribing of statin medications is considered standard practice following any cardiovascular events and for people with a moderate to high risk of development of CVD, such as those with Type 2 Diabetes. The clear evidence of the benefit of statin use coupled with very minimal side effects or long term effects has resulted in this class becoming one of the most widely prescribed medications in North America.[A181087, A181406]

Lovastatin and other drugs from the statin class of medications including [atorvastatin], [pravastatin], [rosuvastatin], [fluvastatin], and [simvastatin] are considered first-line options for the treatment of dyslipidemia.[A181087, A181406] Increasing use of the statin class of drugs is largely due to the fact that cardiovascular disease (CVD), which includes heart attack, atherosclerosis, angina, peripheral artery disease, and stroke, has become a leading cause of death in high-income countries and a major cause of morbidity around the world.[A181084] Elevated cholesterol levels, and in particular, elevated low-density lipoprotein (LDL) levels, are an important risk factor for the development of CVD.[A181087,A181553] Use of statins to target and reduce LDL levels has been shown in a number of landmark studies to significantly reduce the risk of development of CVD and all-cause mortality.[A181090,A181093,A181096,A181427,A181475,A181538] Statins are considered a cost-effective treatment option for CVD due to their evidence of reducing all-cause mortality including fatal and non-fatal CVD as well as the need for surgical revascularization or angioplasty following a heart attack.[A181087, A181406] Evidence has shown that even for low-risk individuals (with <10% risk of a major vascular event occurring within 5 years) statins cause a 20%-22% relative reduction in major cardiovascular events (heart attack, stroke, coronary revascularization, and coronary death) for every 1 mmol/L reduction in LDL without any significant side effects or risks.[A181397, A181403]

While all statin medications are considered equally effective from a clinical standpoint, [rosuvastatin] is considered the most potent; doses of 10 to 40mg [rosuvastatin] per day were found in clinical studies to result in a 45.8% to 54.6% decrease in LDL cholesterol levels, while lovastatin has been found to have an average decrease in LDL-C of 25-40%.[A174580,A181409,A181535,A181538,A1793] Potency is thought to correlate to tissue permeability as the more lipophilic statins such as lovastatin are thought to enter endothelial cells by passive diffusion, as opposed to hydrophilic statins such as [pravastatin] and [rosuvastatin] which are taken up into hepatocytes through OATP1B1 (organic anion transporter protein 1B1)-mediated transport.[A181424,A181460] Despite these differences in potency, several trials have demonstrated only minimal differences in terms of clinical outcomes between statins.[A181538, A181427]",[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,4.08,Non-Nephrotoxic,Lovastatin,45,mg
171,5329102,DB01268,Sunitinib,WINHZLLDWRZWRT-ATVHPVEESA-N,"InChI=1S/C22H27FN4O2/c1-5-27(6-2)10-9-24-22(29)20-13(3)19(25-14(20)4)12-17-16-11-15(23)7-8-18(16)26-21(17)28/h7-8,11-12,25H,5-6,9-10H2,1-4H3,(H,24,29)(H,26,28)/b17-12-","Sunitinib is a small-molecule multi-targeted receptor tyrosine kinase (RTK) inhibitor. On January 26, 2006, the agent was formally approved by the US FDA for the indications of treating renal cell carcinoma (RCC) and imatinib-resistant gastrointestinal stromal tumor (GIST). For these purposes, sunitinib is generally available as an orally administered formulation. Sunitinib inhibits cellular signaling by targeting multiple RTKs. These include all platelet-derived growth factor receptors (PDGF-R) and vascular endothelial growth factor receptors (VEGF-R). Sunitinib also inhibits KIT (CD117), the RTK that drives the majority of GISTs. In addition, sunitinib inhibits other RTKs including RET, CSF-1R, and flt3.",CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C,5.2,Nephrotoxic,Sunitinib,33,mg
172,107807,DB00790,Perindopril,IPVQLZZIHOAWMC-QXKUPLGCSA-N,"InChI=1S/C19H32N2O5/c1-4-8-14(19(25)26-5-2)20-12(3)17(22)21-15-10-7-6-9-13(15)11-16(21)18(23)24/h12-16,20H,4-11H2,1-3H3,(H,23,24)/t12-,13-,14-,15-,16-/m0/s1","Perindopril is a nonsulfhydryl prodrug that belongs to the angiotensin-converting enzyme (ACE) inhibitor class of medications. It is rapidly metabolized in the liver to perindoprilat, its active metabolite, following oral administration. Perindoprilat is a potent, competitive inhibitor of ACE, the enzyme responsible for the conversion of angiotensin I (ATI) to angiotensin II (ATII). ATII regulates blood pressure and is a key component of the renin-angiotensin-aldosterone system (RAAS). Perindopril may be used to treat mild to moderate essential hypertension, mild to moderate congestive heart failure, and to reduce the cardiovascular risk of individuals with hypertension or post-myocardial infarction and stable coronary disease.",[H][C@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O,2.6,Nephrotoxic,Perindopril,4,mg
173,969472,DB00402,Eszopiclone,GBBSUAFBMRNDJC-INIZCTEOSA-N,"InChI=1S/C17H17ClN6O3/c1-22-6-8-23(9-7-22)17(26)27-16-14-13(19-4-5-20-14)15(25)24(16)12-3-2-11(18)10-21-12/h2-5,10,16H,6-9H2,1H3/t16-/m0/s1","Eszopiclone, marketed by Sepracor under the brand-name Lunesta, is a nonbenzodiazepine hypnotic drug used to treat insomnia. It is the active stereoisomer of zopiclone, belonging to the class of drugs known as _cyclopyrrolones_.[A179638,L6850] Cyclopyrrolone drugs demonstrate high efficacy and low toxicity[A179827], offering a safer alternative to other drugs used for insomnia.

One major benefit of eszopiclone is that it is approved by the FDA for the long-term treatment of insomnia. This sets it apart from many other hypnotic sedatives, which are generally approved only for the relief of short-term (6-8 weeks) insomnia. Eszopiclone was initially approved by the FDA in 2004.[L6769]",CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1,0.81,Nephrotoxic,Eszopiclone,2,mg
174,1549008,DB00857,Terbinafine,DOMXUEMWDBAQBQ-WEVVVXLNSA-N,"InChI=1S/C21H25N/c1-21(2,3)15-8-5-9-16-22(4)17-19-13-10-12-18-11-6-7-14-20(18)19/h5-7,9-14H,16-17H2,1-4H3/b9-5+","Terbinafine hydrochloride (Lamisil) is a synthetic allylamine antifungal.[L9065,L9068] It is highly lipophilic in nature and tends to accumulate in skin, nails, and fatty tissues.[A1279] Like other allylamines, terbinafine inhibits ergosterol synthesis by inhibiting the fungal squalene monooxygenase (also called squalene epoxidase), an enzyme that is part of the fungal cell wall synthesis pathway.[A1279,A1281,L9068]

Terbinafine hydrochloride was granted FDA approval on 30 December 1992.[L9064]",CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12,,Nephrotoxic,Terbinafine,0.25,g
175,2519,DB00201,Caffeine,RYYVLZVUVIJVGH-UHFFFAOYSA-N,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3","Caffeine is a drug of the methylxanthine class used for a variety of purposes, including certain respiratory conditions of the premature newborn, pain relief, and to combat drowsiness. Caffeine is similar in chemical structure to [Theophylline] and [Theobromine].[A187691,L9851] It can be sourced from coffee beans, but also occurs naturally in various teas and cacao beans, which are different than coffee beans.[T716] Caffeine is also used in a variety of cosmetic products and can be administered topically, orally, by inhalation, or by injection.[T716]

The caffeine citrate injection, used for apnea of the premature newborn, was initially approved by the FDA in 1999.[L9863] According to an article from 2017, more than 15 million babies are born prematurely worldwide. This correlates to about 1 in 10 births. Premature birth can lead to apnea and bronchopulmonary dysplasia, a condition that interferes with lung development and may eventually cause asthma or early onset emphysema in those born prematurely.[A187694] Caffeine is beneficial in preventing and treating apnea and bronchopulmonary dysplasia in newborns, improving the quality of life of premature infants.[T716]",CN1C=NC2=C1C(=O)N(C)C(=O)N2C,-0.07,Non-Nephrotoxic,Caffeine,0.4,g
176,5379,DB01044,Gatifloxacin,XUBOMFCQGDBHNK-UHFFFAOYSA-N,"InChI=1S/C19H22FN3O4/c1-10-8-22(6-5-21-10)16-14(20)7-12-15(18(16)27-2)23(11-3-4-11)9-13(17(12)24)19(25)26/h7,9-11,21H,3-6,8H2,1-2H3,(H,25,26)","Gatifloxacin is an antibiotic agent and a member of the fourth-generation fluoroquinolone family. It works by inhibiting the bacterial enzymes DNA gyrase and topoisomerase IV. It was first introduced by Bristol-Myers Squibb in 1999 under the brand name Tequin® for the treatment of respiratory tract infections. Gatifloxacin is available as tablets and in various aqueous solutions for intravenous therapy. It is also available as eye drops under the brand name Zymar® marketed by Allergan.

The FDA withdrew its approval for the use of non-ophthalmic drug products containing gatifloxacin due to the high prevalence of gatifloxacin-associated dysglycemia adverse event reports and the high incidence of hyperglycemic and hypoglycemic episodes in patients taking gatifloxacin compared to those on macrolide antibiotics.[L43942,L44037]",COC1=C2N(C=C(C(O)=O)C(=O)C2=CC(F)=C1N1CCNC(C)C1)C1CC1,2.6,Nephrotoxic,Gatifloxacin,0.4,g
177,216416,DB06202,Lasofoxifene,GXESHMAMLJKROZ-IAPPQJPRSA-N,"InChI=1S/C28H31NO2/c30-24-11-15-27-23(20-24)10-14-26(21-6-2-1-3-7-21)28(27)22-8-12-25(13-9-22)31-19-18-29-16-4-5-17-29/h1-3,6-9,11-13,15,20,26,28,30H,4-5,10,14,16-19H2/t26-,28+/m1/s1","Lasofoxifene is a non-steroidal 3rd generation selective estrogen receptor modulator (SERM) that selectively binds to both ERα and ERβ with high affinity. It is a naphthalene derivative marketed for prevention and treatment of osteoporosis and for the treatment of vaginal atrophy. It was initially developed as Oporia by Pfizer as a treatment for postmenopausal osteoporosis and vaginal atrophy, in which were both rejected for approval by FDA. Later Fablyn was developed as a result of a research collaboration between Pfizer and Ligand Pharmaceuticals with a newly submitted New Drug Application in 2008. It gained approval by European Commission in March 2009. Ligand Pharmaceuticals signed a license agreement with Sermonix Pharmaceuticals for the development and commercialization of oral lasofoxifene in the USA.",[H][C@@]1(CCC2=CC(O)=CC=C2[C@@]1([H])C1=CC=C(OCCN2CCCC2)C=C1)C1=CC=CC=C1,,Non-Nephrotoxic,Lasofoxifene,0.5,mg
178,3961,DB00678,Losartan,PSIFNNKUMBGKDQ-UHFFFAOYSA-N,"InChI=1S/C22H23ClN6O/c1-2-3-8-20-24-21(23)19(14-30)29(20)13-15-9-11-16(12-10-15)17-6-4-5-7-18(17)22-25-27-28-26-22/h4-7,9-12,30H,2-3,8,13-14H2,1H3,(H,25,26,27,28)","Losartan is an angiotensin II receptor blocker (ARB) used to treat hypertension.[L7423] Angiotensin-converting enzyme (ACE) inhibitors are used for a similar indication but are associated with a cough.[L7423] When patients with ACE inhibitor associated coughs are switched to ARBs like losartan, they have an incidence of cough similar to placebo or [hydrochlorothiazide].[L7423] Losartan is available as losartan potassium oral tablets as well as a combination tablet of losartan potassium and hydrochlorothiazide.[L7423,L7426] Patients taking losartan should have their renal function and potassium levels monitored.[L7423] Losartan was granted FDA approval on 14 April 1995.[L7423]",CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,1.19,Nephrotoxic,Losartan,50,mg
179,3702,DB00808,Indapamide,NDDAHWYSQHTHNT-UHFFFAOYSA-N,"InChI=1S/C16H16ClN3O3S/c1-10-8-11-4-2-3-5-14(11)20(10)19-16(21)12-6-7-13(17)15(9-12)24(18,22)23/h2-7,9-10H,8H2,1H3,(H,19,21)(H2,18,22,23)","The most significant modifiable risk factor for cardiovascular disease and the most prominent contributor to all-cause mortality is hypertension.[A204155] Characterized by an office blood pressure of ≥140/90, hypertension is pervasive and impacts an estimated 25% of adults globally.[A204155] Treatment for hypertension should include a number of lifestyle changes (ie. reduced sodium intake) along with pharmacotherapy - it should be noted that treatment with several antihypertensive agents may be required in order to achieve blood pressure targets.[A204155]

Thiazide-like diuretics such as indapamide are a valuable tool for the treatment of hypertension and continue to grow in popularity, falling behind only ACE inhibitors in terms of prescription frequency.[A204134] When compared to [hydrochlorothiazide] (another commonly prescribed diuretic), indapamide has been shown to be superior at lowering systolic blood pressure, reducing left ventricular mass index, lowering oxidative stress, inhibiting platelet aggregation, and reducing microalbuminuria associated with diabetes.[A204134] Interestingly, unlike thiazide diuretics, several sources suggest that indapamide is not associated with glucose or lipid disturbances.[A204134,A204161] 

Indapamide is characterized by both a methylindoline and a sulfamoyl chlorobenzamide functional group, with the former being largely responsible for the molecule’s lipid solubility.[A204158]",CC1CC2=CC=CC=C2N1NC(=O)C1=CC(=C(Cl)C=C1)S(N)(=O)=O,,Nephrotoxic,Indapamide,2.5,mg
180,193962,DB06414,Etravirine,PYGWGZALEOIKDF-UHFFFAOYSA-N,"InChI=1S/C20H15BrN6O/c1-11-7-14(10-23)8-12(2)17(11)28-19-16(21)18(24)26-20(27-19)25-15-5-3-13(9-22)4-6-15/h3-8H,1-2H3,(H3,24,25,26,27)","Etravirine is an antiretroviral agent more specifically classified as a Non-Nucleoside Reverse Transcriptase Inhibitor (NNRTI). Etraverine is used clinically for the treatment of human immunodeficiency virus type 1 (HIV-1) infection. On January 18, 2007, the FDA granted accelerated approved for the use of etravirine 100mg tablets in the treatment of adult HIV-1 infection documented to be resistant to therapy with other NNRTIs and antiretroviral agents. On March 26, 2012, approval was extended for use in treatment-experienced pediatric patients 6 to 18 years of age, weighing at least 16 kg. Etravarine must always be used in combination with other antiretroviral drugs. 

Etravirine exerts its effects via direct inhibition of the reverse transcriptase enzyme of human immunodeficiency virus type 1 (HIV-1), and consequently blocks DNA-dependent and RNA-dependent polymerase activity. Etravirine does not inhibit human DNA polymerase alpha, beta or gamma. 

Common side effects of use include mild to moderate rash within the first 6 weeks of therapy, nausea, diarrhea and peripheral neuropathy. Patients are advised to immediately contact their healthcare provider if a rash develops. 

In 2009, postmarketing case reports of Stevens-Johnson Syndrome, toxic epidermal necrolysis, erythema multiforme, and other hypersensitivity reactions lead to a revision of etravirine's ""Warnings and Precautions,"" as well as notification of health care providers. 

In 2013, reports of Autoimmune disorders (such as Graves’ disease, polymyositis, and Guillain-Barré syndrome) in the setting of immune reconstitution, as well as more in depth information about the development of rashes in patients taking etravirine, lead to a modification of etravirine's monograph.",CC1=CC(=CC(C)=C1OC1=C(Br)C(N)=NC(NC2=CC=C(C=C2)C#N)=N1)C#N,,Nephrotoxic,Etravirine,0.4,g
181,444,DB01156,Bupropion,SNPPWIUOZRMYNY-UHFFFAOYSA-N,"InChI=1S/C13H18ClNO/c1-9(15-13(2,3)4)12(16)10-6-5-7-11(14)8-10/h5-9,15H,1-4H3","Bupropion (also known as the brand name product Wellbutrin®) is a norepinephrine/dopamine-reuptake inhibitor (NDRI) used most commonly for the management of Major Depressive Disorder (MDD), Seasonal Affective Disorder (SAD), and as an aid for smoking cessation. Bupropion exerts its pharmacological effects by weakly inhibiting the enzymes involved in the uptake of the neurotransmitters norepinephrine and dopamine from the synaptic cleft, therefore prolonging their duration of action within the neuronal synapse and the downstream effects of these neurotransmitters. More specifically, bupropion binds to the norepinephrine transporter (NET) and the dopamine transporter (DAT).[A6399,A178810]

Bupropion was originally classified as an ""atypical"" antidepressant because it does not exert the same effects as the classical antidepressants such as Monoamine Oxidase Inhibitors (MAOIs), Tricyclic Antidepressants (TCAs), or Selective Serotonin Reuptake Inhibitors (SSRIs). While it has comparable effectiveness to typical first-line options for the treatment of depression such as SSRIs,[A178798,A178804] bupropion is a unique option for the treatment of MDD as it lacks any clinically relevant serotonergic effects, typical of other mood medications, or any effects on histamine or adrenaline receptors.[A6399,A178840] Lack of activity at these receptors results in a more tolerable side effect profile; bupropion is less likely to cause sexual side effects, sedation, or weight gain as compared to SSRIs or TCAs, for example.[A178804,A178807]

When used as an aid to smoking cessation, bupropion is thought to confer its anti-craving and anti-withdrawal effects by inhibiting dopamine reuptake, which is thought to be involved in the reward pathways associated with nicotine, and through the antagonism of the nicotinic acetylcholinergic receptor.[A178825,A1966,A16508] A Cochrane Review of meta-analyses of available treatment modalities for smoking cessation found that abstinence rates approximately doubled when bupropion was used as compared to placebo, and was found to have similar rates of smoking cessation as [nicotine] replacement therapy (NRT).[A178816]

Bupropion is sometimes used as an add-on agent to first-line treatments of depression such as selective serotonin reuptake inhibitor (SSRI) medications when there is a treatment-failure or only partial response.[A178789] Bupropion is also used off-label for the management of Attention/Deficit-Hyperactivity Disorder (ADHD) in adults with comorbid bipolar depression to avoid mood destabilization caused by typical stimulant medications used for the treatment of ADHD.[F4624]

When used in combination with [naltrexone] in the marketed product ContraveⓇ for chronic weight management, the two components are thought to have effects on areas of the brain involved in the regulation of food intake. This includes the hypothalamus, which is involved in appetite regulation, and the mesolimbic dopamine circuit, which is involved in reward pathways.[L6562] Studies have shown that the combined activity of bupropion and [naltrexone] increase the firing rate of hypothalamic pro-opiomelanocortin (POMC) neurons and blockade of opioid receptor-mediated POMC auto-inhibition, which are associated with a reduction in food intake and increased energy expenditure.[L6562,A179038,A179050] The combination of naltrexone and bupropion was shown to result in a statistically significant weight loss, with a mean change in body weight of -6.3% compared to -1.3% for placebo.[A179047]",CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1,3.6,Non-Nephrotoxic,Bupropion,0.3,g
182,446541,DB01024,Mycophenolic acid,HPNSFSBZBAHARI-RUDMXATFSA-N,"InChI=1S/C17H20O6/c1-9(5-7-13(18)19)4-6-11-15(20)14-12(8-23-17(14)21)10(2)16(11)22-3/h4,20H,5-8H2,1-3H3,(H,18,19)/b9-4+","Mycophenolic acid is a potent immunosuppressant agent that inhibits _de novo_ purine biosynthesis.[L42165] It was derived from _Penicillium stoloniferum_, and has also shown antibacterial, antifungal and antiviral properties.[A249170]. Mycophenolic acid is used in immunosuppressive regimens as part of a triple therapy that includes a calcineurin inhibitor (ciclosporin or tacrolimus) and prednisolone.[A249175] This regimen can be used in place of the older anti-proliferative [azathioprine] due to its stronger immunosuppressive potency.[A249180] However, mycophenolic acid treatment is more expensive and requires therapeutic drug monitoring to optimize efficacy and minimize toxicity.[A249180,A249185] Mycophenolic acid is available as enteric-coated tablets of delayed-release, in an effort to improve upper gastrointestinal adverse events by delaying mycophenolic acid release until it reaches the small intestine.[A249190] [Mycophenolate mofetil], a prodrug of mycophenolic acid, is also prescribed to transplant recipients to prevent organ rejection.[L42020]",COC1=C(C\C=C(/C)CCC(O)=O)C(O)=C2C(=O)OCC2=C1C,2.8,Nephrotoxic,Mycophenolic acid,2,g
183,446157,DB01098,Rosuvastatin,BPRHUIZQVSMCRT-VEUZHWNKSA-N,"InChI=1S/C22H28FN3O6S/c1-13(2)20-18(10-9-16(27)11-17(28)12-19(29)30)21(14-5-7-15(23)8-6-14)25-22(24-20)26(3)33(4,31)32/h5-10,13,16-17,27-28H,11-12H2,1-4H3,(H,29,30)/b10-9+/t16-,17-/m1/s1","Rosuvastatin, also known as the brand name product Crestor, is a lipid-lowering drug that belongs to the statin class of medications, which are used to lower the risk of cardiovascular disease and manage elevated lipid levels by inhibiting the endogenous production of cholesterol in the liver. More specifically, statin medications competitively inhibit the enzyme hydroxymethylglutaryl-coenzyme A (HMG-CoA) Reductase,[A181421] which catalyzes the conversion of HMG-CoA to mevalonic acid and is the third step in a sequence of metabolic reactions involved in the production of several compounds involved in lipid metabolism and transport including cholesterol, low-density lipoprotein (LDL) (sometimes referred to as ""bad cholesterol""), and very low-density lipoprotein (VLDL). Prescribing of statin medications is considered standard practice following any cardiovascular events and for people with a moderate to high risk of development of CVD, such as those with Type 2 Diabetes. The clear evidence of the benefit of statin use coupled with very minimal side effects or long term effects has resulted in this class becoming one of the most widely prescribed medications in North America.[A181087, A181406]

Rosuvastatin and other drugs from the statin class of medications including [atorvastatin], [pravastatin], [simvastatin], [fluvastatin], and [lovastatin] are considered first-line options for the treatment of dyslipidemia.[A181087, A181406] This is largely due to the fact that cardiovascular disease (CVD), which includes heart attack, atherosclerosis, angina, peripheral artery disease, and stroke, has become a leading cause of death in high-income countries and a major cause of morbidity around the world.[A181084] Elevated cholesterol levels, and in particular, elevated low-density lipoprotein (LDL) levels, are an important risk factor for the development of CVD.[A181087,A181553] Use of statins to target and reduce LDL levels has been shown in a number of landmark studies to significantly reduce the risk of development of CVD and all-cause mortality.[A181090,A181093,A181096,A181427,A181475,A181538] Statins are considered a cost-effective treatment option for CVD due to their evidence of reducing all-cause mortality including fatal and non-fatal CVD as well as the need for surgical revascularization or angioplasty following a heart attack.[A181087, A181406] Evidence has shown that even for low-risk individuals (with <10% risk of a major vascular event occurring within 5 years) statins cause a 20%-22% relative reduction in major cardiovascular events (heart attack, stroke, coronary revascularization, and coronary death) for every 1 mmol/L reduction in LDL without any significant side effects or risks.[A181397, A181403]

While all statin medications are considered equally effective from a clinical standpoint, rosuvastatin is considered the most potent; doses of 10 to 40mg rosuvastatin per day were found in clinical studies to result in a 45.8% to 54.6% decreases in LDL cholesterol levels, which is about three-fold more potent than [atorvastatin]'s effects on LDL cholesterol.[A181409,A1793] However, the results of the SATURN trial[A181427] concluded that despite this difference in potency, there was no difference in their effect on the progression of coronary atherosclerosis.

Rosuvastatin is also a unique member of the class of statins due to its high hydrophilicity which increases hepatic uptake at the site of action, low bioavailability, and minimal metabolism via the Cytochrome P450 system.[A181523] This last point results in less risk of drug-drug interactions compared to [atorvastatin], [lovastatin], and [simvastatin], which are all extensively metabolized by Cytochrome P450 (CYP) 3A4, an enzyme involved in the metabolism of many commonly used drugs.[A181460] Drugs such as [ciclosporin], [gemfibrozil], and some antiretrovirals are more likely to interact with this statin through antagonism of OATP1B1 organic anion transporter protein 1B1-mediated hepatic uptake of rosuvastatin.[F4649, F4652]",CC(C)C1=NC(=NC(C2=CC=C(F)C=C2)=C1\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)N(C)S(C)(=O)=O,0.13,Nephrotoxic,Rosuvastatin,10,mg
