iteration,metabolite_smiles,metabolite_pred,metabolite_proba,metabolite_optimal_threshold_from_train,metabolite_pred_optimal,dataset,featurespace
284,['Cc1c[n-]c(=NC(=O)C2NS(=O)(=O)c3ccccc3C2=O)[n-]1'],[1.],[0.86195347],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
285,['CC(=O)Nc1c(C(=O)[NH+](C)C(=O)[O-])ncn1C'],[1.],[0.52304856],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
286,['CC([NH2+]C(C)(C)C)C(=O)c1ccccc1'],[1.],[0.76649709],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
287,['NS(=O)(=O)c1cc(S(=O)(=O)[O-])c(Cl)cc1NC=O'],[1.],[0.75574959],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
288,['Nc1cn(N=Cc2ccc([N+](=O)[O-])o2)c(=O)[n-]1'],[0.],[0.13754285],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
289,['O=C(COCC[NH+]1CC[NH+](C(c2ccccc2)c2ccc(Cl)cc2)CC1)NCCO'],[0.],[0.44330932],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
290,['CC(NC=O)C(O)c1ccccc1'],[1.],[0.63263358],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
291,['CN(c1ccc(CC[NH+](C)CCOc2ccc(NS(C)(=O)=O)cc2)cc1)S(C)(=O)=O'],[1.],[0.75495273],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
292,['N#Cc1c(NCC(=O)[O-])sc(C(=O)[O-])c1CC(=O)[O-]'],[1.],[0.87566168],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
293,['CC1CN(c2c(F)cc3c(=O)c(C(=O)[O-])cn(C(C)O)c3c2F)CC[NH2+]1'],[1.],[0.91843004],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
294,['C[NH+]1CCN(c2c(F)cc3c(=O)c(C(=O)[O-])cn4c3c2OCC4(C)CO)CC1O'],[1.],[0.70850601],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
295,['O=C(c1ccc(OCC[NH+]2CCCCC2)cc1)c1c(-c2ccc([O-])c([O-])c2)sc2cc([O-])ccc12'],[1.],[0.77479549],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
296,['CS(=O)(=O)OCCCCO'],[1.],[0.85401319],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
297,['O=S(=O)([O-])Nc1ccc(S(=O)(=O)N=c2nccc[n-]2)cc1'],[0.],[0.19482109],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
298,['O=C(c1ccc(OCC[NH+]2CCCC(O)C2)cc1)c1c(-c2ccc([O-])cc2)sc2cc([O-])ccc12'],[1.],[0.85068007],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
299,['CCC[NH2+]CCc1cccc2[n-]c(=O)ccc12'],[1.],[0.85373005],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
300,['COc1cc2c(=Nc3ccc(Br)cc3F)[n-]cnc2cc1OCC1CC[NH2+]CC1'],[1.],[0.90437022],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
301,['O=C(NCO)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)[n-]nc2c1'],[0.],[0.26253626],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
302,['COc1ccccc1OCC(O)CO'],[1.],[0.81714386],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
303,['COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CC[NH+](CO)CC1'],[1.],[0.82098045],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
304,['CCc1ccc([O-])c2c3c([nH]c12)C(CC)(CC(=O)[O-])OCC3'],[1.],[0.8678161],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
305,['CC(C)[NH+](CC(O)c1ccc(NS(C)(=O)=O)cc1)C1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O'],[1.],[0.84472819],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
306,['C[NH+]1CCC(C(=O)[O-])(c2ccccc2)CC1'],[1.],[0.68426478],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
307,['CCC1(c2ccc(NC(C)=O)cc2)CCC(=O)NC1O'],[1.],[0.74750536],0.5288894204791518,[1],Metabolite Compounds Train,morgan_fingerprint
308,['CCC[NH+]1CC(CS)CC2c3cccc4[nH]cc(c34)CC21'],[1.],[0.89162981],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
309,['CC(=O)N=c1[n-]c(Cl)c(Cl)nc1C(=O)NC(N)=[NH2+]'],[1.],[0.6902333],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
310,['CC(=O)Nc1c(NC=O)[n-]c(=O)n(C)c1=O'],[1.],[0.53412599],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
311,['CC=Nc1cccc(-c2ccnc3c(C#N)cnn23)c1'],[1.],[0.7671237],0.5288894204791518,[1],Metabolite Compounds Train,morgan_fingerprint
312,['O=C([O-])c1cn(C2CC2)c2cc(NCCNC(=O)C(O)C(O)C(O)CO)c(F)cc2c1=O'],[1.],[0.75988861],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
313,['Nc1ccc([O-])c(C=O)c1'],[1.],[0.84790652],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
314,['Cc1cn(-c2cc(NC(=O)c3ccc(C)c(NC4=[NH+]C(=C5CC=C[NH+](O)C5)C=CN4)c3)cc(C(F)(F)F)c2)cn1'],[1.],[0.79561716],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
315,['COC(=O)c1c(C)nc(C)c(C(=O)OC(C)C)c1-c1cccc(N)c1N'],[1.],[0.81930884],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
316,['CCCCCCCCCCCC(O)CC(O)C(CCCCCC)C(=O)[O-]'],[1.],[0.89095918],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
317,['COc1ccc2nc(SCc3ncc(CO)c(OC)c3C)[n-]c2c1'],[1.],[0.86421688],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
318,['NC(=O)OCC(O)COc1ccc([O-])cc1'],[1.],[0.8607293],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
319,['CCC[NH+]1CC(CSC)CC2c3cccc4[nH]cc(c34)C21'],[1.],[0.69945623],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
320,['COc1c(N2CC([NH3+])C(CCC[NH3+])C2)c(F)cc2c(=O)c(C(=O)[O-])cn(C3CC3)c12'],[1.],[0.88508478],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
321,['Cc1ccc(C(=O)c2cc([O-])c(OS(=O)(=O)[O-])c([N+](=O)[O-])c2)cc1'],[0.],[0.17144513],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
322,['CCCCC(=O)NC(C(=O)[O-])C(C)C'],[1.],[0.82520627],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
323,['CC12COC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O'],[1.],[0.7782953],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
324,['O=C(Oc1ccccc1C(=O)[O-])c1ccccc1'],[1.],[0.84751019],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
325,['O=C([O-])[NH2+][C@@H](CC(=O)[NH+]1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F'],[1.],[0.90513658],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
326,['[O-]c1nc2c([O-])c(Cl)c([O-])cc2o1'],[1.],[0.83675023],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
327,['CC[C@@H]1OC(=O)[C@H](C)[C@H](O[C@@H]2C[C@](C)(OC)[C@H](O)[C@@H](C)O2)C(C)[C@H](O[C@H]2O[C@@H](C)C[C@@H]([NH2+]C)[C@@H]2O)[C@@](C)(O)C[C@H](C)C[NH+](C)[C@@H](O)[C@]1(C)O'],[1.],[0.90538999],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
328,['C[NH2+]CCC(Oc1ccc(C(F)(F)F)c([O-])c1)c1ccccc1'],[1.],[0.8396275],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
329,['[O-]c1cc(Cl)c(NC2=[NH+]CCN2)c2nsnc12'],[1.],[0.85259743],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
330,['CC(C)[NH+](C)CC(O)COc1ccc(CC(N)=O)cc1'],[1.],[0.81744648],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
331,['Cc1nc(Cn2c(=O)c3c(nc(N4CCCC(O)C4)n3CC#CCO)n(C)c2=O)nc2ccccc12'],[0.],[0.06623981],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
332,['N=c1nc(Cl)c(C(=O)[O-])c(N)[n-]1'],[1.],[0.87719791],0.5288894204791518,[1],Metabolite Compounds Train,morgan_fingerprint
333,['C[N+]1(C)CCC(O)C(O)(c2ccccc2)C1'],[1.],[0.69647438],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
334,['CC([NH3+])C(C)c1cccc([O-])c1'],[1.],[0.84222808],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
335,['CN1C(CS(=O)(=O)[O-])=[NH+]c2cc(Cl)c(S(N)(=O)=O)cc2S1=O'],[1.],[0.71335525],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
336,['CC(CCc1ccccc1)n1ccc2cc([O-])c([O-])c(C(N)=O)c21'],[0.],[0.47571264],0.5288894204791518,[0],Metabolite Compounds Train,morgan_fingerprint
337,['N=c1[n-]c(N)ccc1N=Nc1ccc(N=Nc2ccccc2)[n-]c1=N'],[1.],[0.86687656],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
338,['O=C1CC2(CCCC2)CC(=O)[NH+]1CCCC[N+]1(O)CCN(c2ncccn2)CC1'],[0.],[0.26446126],0.5370464302492379,[0],Metabolite Compounds Train,morgan_fingerprint
339,['COCCCOc1cc(CC(CC([NH3+])C(=O)[O-])C(C)C)ccc1OC'],[1.],[0.88002006],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
340,['CC(=O)[NH+]1CCC(n2cc(-c3cnc(N)c(OC(C)c4c(Cl)cc([O-])c(Cl)c4Cl)c3)cn2)CC1'],[1.],[0.73207975],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
341,['CCOc1ccc(Cc2cc(C3OC(COC4OC(C(=O)[O-])C(O)C(O)C4O)C(O)C(O)C3O)ccc2Cl)cc1'],[1.],[0.86112339],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
342,['CCOC(=O)C1=C(C)[NH2+]C(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl'],[1.],[0.60550555],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
343,['C[C@H]([NH2+][C@@H](CCc1ccccc1)C(=O)[O-])C(=O)[NH+]1[C@H](C(=O)[O-])C[C@@H]2CCC[C@@H]21'],[1.],[0.86998791],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
344,['O=C(c1ccccc1)c1ccc2n1CCC2C(O)=NCC(O)C(=O)[O-]'],[1.],[0.83248235],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
345,['[NH3+]CC1(CC(=O)[O-])CCC(O)C(O)C1'],[1.],[0.78827013],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
346,['CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CCN(S(=O)(=O)[O-])CC3)cc21'],[1.],[0.93728508],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
347,['CC1(C)OC2CO[C@@]3(CO)OC(C)(C)OC3C2O1'],[1.],[0.83887974],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
348,['[O-]c1nc2ccc(Cl)c(NC3=[NH+]CCN3)c2[n-]1'],[1.],[0.77734751],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
349,['COC(=O)c1c(C)nc(C)c(C(=O)[O-])c1-c1ccccc1[N+](=O)[O-]'],[0.],[0.20681469],0.5288894204791518,[0],Metabolite Compounds Train,morgan_fingerprint
350,['NC(=O)[NH+]1CCC(CC(=O)[NH+]2CCC(C3c4c(Br)cc(Cl)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1'],[1.],[0.86342643],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
351,['CCCc1nc(C(C)(C)O)c(C(=O)[O-])n1Cc1ccc(-c2ccc([O-])cc2-c2nn[n-]n2)cc1'],[1.],[0.92441361],0.5288894204791518,[1],Metabolite Compounds Train,morgan_fingerprint
352,['Cc1cc2c(cc1C)N(CC(O)C(O)C(O)CO)c1[n-]c(=O)[n-]c(=O)c1N2'],[1.],[0.71442609],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
353,['CC([NH3+])(Cc1ccc([O-])cc1)C(=O)[O-]'],[1.],[0.88396113],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
354,['C[NH+](C)C(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1'],[1.],[0.81581386],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
355,['O=C([O-])[NH2+][C@@H](CC(=O)[NH+]1CCn2c(nnc2C(F)(F)F)C1)Cc1ccc(F)c(F)c1'],[1.],[0.90466787],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
356,['Cc1c(C(O)=N[NH+]2CCCCC2O)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1'],[0.],[0.48520249],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
357,['N#Cc1ccc(C(c2ccc(C#N)c([O-])c2)n2cncn2)cc1'],[0.],[0.46282331],0.5370464302492379,[0],Metabolite Compounds Train,morgan_fingerprint
358,['Cc1cc(C#N)cc(C)c1OC1OC([NH2+]c2ccc(C#N)cc2)C(O)C(O)C1O'],[1.],[0.86519788],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
359,['COc1cc[n+](CS(=O)c2nc3cc(OC(F)F)ccc3[n-]2)c([O-])c1[O-]'],[1.],[0.87071934],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
360,['CC[NH+](CC)C(=O)C1(c2ccccc2)CC1C=O'],[1.],[0.85156003],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
361,['CC(C=CC(C)C(C)(C)O)C1CCC2C(=CC=C3CC(O)CC(OS(=O)(=O)[O-])C3)CCCC21C'],[1.],[0.7307959],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
362,['CNS(=O)(=O)Cc1ccc2[nH]cc(C(O)C[NH3+])c2c1'],[0.],[0.26747779],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
363,['CCC(C)C(=O)OC1CC(O)CC2C=CC(C)C(CCC(O)CC(O)CC(=O)[O-])C21'],[1.],[0.88518359],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
364,['Cc1c([O-])c(=O)cc([O-])n1C'],[1.],[0.58370092],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
365,['CCNc1cccc(-c2ccnc3c(C#N)cnn23)c1'],[1.],[0.8289287],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
366,['CC(C)(Oc1ccc(CCO)cc1)C(=O)[O-]'],[1.],[0.88358583],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
367,['C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1cc(F)ccc1F'],[1.],[0.89434856],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
368,['CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccc(C(=O)OC3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)cc2)cc1'],[1.],[0.93574128],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
369,['Cc1[n-]cnc1C[n+]1c[n-]c(CO)c1C=O'],[1.],[0.81770241],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
370,['COc1ccc(CN=c2[n-]c([NH+]3CCCC3C(=O)[O-])ncc2C(=O)NCc2ncccn2)cc1Cl'],[0.],[0.17199979],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
371,['CC[NH+](C)C(=O)Oc1cccc(C(C)[NH2+]C)c1'],[1.],[0.81965338],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
372,['CC1(C)OC2OC(CO)(CO)OC(CO)C2O1'],[1.],[0.80823588],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
373,['COc1cc([O-])ccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO'],[0.],[0.41131718],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
374,['CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)c([O-])c1)C(=O)[O-]'],[1.],[0.84280145],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
375,['COc1cc(Br)c(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)cc1[O-]'],[0.],[0.168703],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
376,['CCC1OCCC1Oc1cc2nc[n-]c(=Nc3ccc(F)c(Cl)c3)c2cc1N'],[1.],[0.85922251],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
377,['CC1[NH2+]C(CCc2ccccc2)C(=O)[NH+]1C(=O)C1CC2CCCC2[NH+]1C(=O)[O-]'],[1.],[0.58127333],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
378,['CC[NH+](CC)CCOc1c(I)cc(C(=O)c2c(CCC(=O)[O-])oc3ccccc23)cc1I'],[1.],[0.89536175],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
379,['CCOC(=O)c1c(C)nc(C)c(C(=O)OC)c1-c1cccc(Cl)c1Cl'],[1.],[0.75519886],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
380,['[O-]c1ccc2c(c1)CCC(C(O)C[NH2+]CC(O)C1CCc3cc(F)ccc3O1)O2'],[1.],[0.86541875],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
381,['O=C1[NH2+]C(c2ccccc2)c2cc(Cl)ccc2N1O'],[1.],[0.57411192],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
382,['O=C1Nc2c([O-])cc(Cl)cc2C(c2ccccc2)NC1=O'],[1.],[0.76596992],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
383,['CC(NC(=O)Cc1ccccc1)C(O)c1ccccc1'],[1.],[0.84208928],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
384,['O=C1[N-]C(=O)C(C2=CC(=O)C(O)=CC2)(c2ccccc2)N1'],[1.],[0.54260227],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
385,['Cc1ccc(S(=O)(=O)[N-]C(=O)[NH2+]CCCCO)cc1'],[0.],[0.08928235],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
386,['COC1C=CC=CC=CC(C)CC(C)C(=O)C(OC)C(O)C(C)C=C(C)C(=O)CC(C(C)CC2CCC(O)C(O)C2)OC(=O)C2CCCC[NH+]2C(=O)C(=O)C2(O)OC(CCC2C)C1'],[1.],[0.95131543],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
387,['O=C([O-])CCC(=O)NCC1(CC(=O)[O-])CCCCC1'],[1.],[0.89531217],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
388,['C[NH+]=C(N)NCCSCc1[n-]cnc1C'],[1.],[0.78740373],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
389,['O=C1CC2(CCCCC2)CN1'],[1.],[0.76694892],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
390,['C[NH+](CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(N)cc1'],[1.],[0.91858799],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
391,['O=S(=O)([O-])OC1C(c2ccc(Cl)c(Cc3ccc(OC4CCOC4)cc3)c2)OC(CO)C(O)C1O'],[1.],[0.77279762],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
392,['NS(=O)(=O)c1cc(C2(O)N=C(O)c3c([O-])cccc32)ccc1Cl'],[1.],[0.74910583],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
393,['COc1ccccc1Oc1c(OCCO)[n-]c(-c2ncccn2)nc1=NS(=O)(=O)c1ccc(C(C)(C)CO)cc1'],[0.],[0.11593149],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
394,['O=C([O-])[NH2+]Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1'],[1.],[0.87964504],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
395,['CS(=O)(=O)Nc1ccc(CC=O)cc1'],[1.],[0.88887556],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
396,['[O-]c1cc2c(cc1[O-])[C@H](c1ccc(OCC[NH+]3CCCC3)cc1)[C@@H](c1ccccc1)CC2'],[1.],[0.55178768],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
397,['Nc1cc(Cl)c(S(=O)(=O)[O-])cc1S(N)(=O)=O'],[1.],[0.86234703],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
398,['O=C1CN(c2cc3c(cc2F)c(=O)c(C(=O)[O-])cn3C2CC2)CCN1'],[1.],[0.91953573],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
399,['CC(C=CC(C)C(C)(C)O)C1CCC2C3C(O)CC4OC4C3(C)CCCC12C'],[1.],[0.78094628],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
400,['CCS(=O)(=O)CCn1c(N)cnc1C'],[1.],[0.7325379],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
401,['O=c1n(C2CC[NH2+]CC2)cnn1-c1ccc(N2CCN(c3ccc(OCC4COC(Cn5cncn5)(c5ccc(Cl)cc5Cl)O4)cc3)CC2)cc1'],[1.],[0.80001401],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
402,['CC1(C)CC2CCC1C2(C)C'],[1.],[0.7004544],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
403,['CNC(=O)N[C@H](CC[NH+]1CCOCC1)C(=O)N[C@H](CC[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1'],[1.],[0.80876995],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
404,['C[NH2+]CCOC(=O)C1C(CO)=NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1'],[0.],[0.10345919],0.5370464302492379,[0],Metabolite Compounds Train,morgan_fingerprint
405,['CC(C)(C)N=C(O)C1CC2CC(O)CCC2C[NH+]1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1'],[1.],[0.77927384],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
406,['C[NH+](C)C1CCc2[nH]c3ccc(C(N)=O)cc3c2C1O'],[1.],[0.5016853],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
407,['CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH3+])C2O)C(C)(O)CC(C)C[NH2+]C(C)C(O)C1(C)O'],[1.],[0.78546444],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
408,['O=C([O-])Oc1c2nccnc2c([O-])n1-c1ccc(Cl)cn1'],[1.],[0.82990632],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
409,['C[N+](C)(O)CCCN1c2ccccc2CCc2ccc(Cl)cc21'],[1.],[0.72810412],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
410,['CC(C)[NH2+]C(=O)[N-]S(=O)(=O)c1c[n-]cc1Nc1cccc(CO)c1'],[0.],[0.44643583],0.5370464302492379,[0],Metabolite Compounds Train,morgan_fingerprint
411,['CC(O)CCC1=[NH+]C2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1'],[1.],[0.91038309],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
412,['CCOc1ccc(C(O)c2cc(C3OC(CO)C(O)C(O)C3O)ccc2Cl)cc1'],[1.],[0.78599995],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
413,['[O-]c1cc2nc[n-]c(=Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1'],[1.],[0.71018344],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
414,['CCOC(=O)c1c(C)nc(C)c(C(=O)[O-])c1-c1cccc(Cl)c1Cl'],[1.],[0.87656758],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
415,['[O-]c1ccc(C(O)(Cn2cncn2)Cn2cncn2)c(F)c1'],[1.],[0.89869796],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
416,['CC(C)C([NH3+])C(=O)NC(Cc1ccccc1)CC(O)C(Cc1ccccc1)NC(=O)OCc1cncs1'],[1.],[0.91776291],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
417,['NC(=O)[NH+]1CCC(CC(=O)[NH+]2CCC(C3c4ncc(Br)cc4CC(O)c4cc(Cl)cc(Cl)c43)CC2)CC1'],[1.],[0.92017492],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
418,['CCC(C)C(=O)OC1CC(O)CC2C=CC(C)C(CCC(O)CC(=O)[O-])C21'],[1.],[0.94054035],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
419,['O=C(Oc1ccccc1C(=O)Oc1ccc([O-])cc1)c1ccccc1[O-]'],[1.],[0.58560395],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
420,['COC=C1CSC2C(=NC(=O)C([NH3+])c3csc(=N)[n-]3)C(=O)[NH+]2C1C(=O)[O-]'],[1.],[0.81040092],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
421,['CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/c1cc([O-])cc(=O)o1'],[1.],[0.85541883],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
422,['O=C([O-])c1cn(C2CC2)c2cc(N3CC[NH+](C(=O)[O-])CC3)c(F)cc2c1=O'],[1.],[0.93112649],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
423,['CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH+](C(C)=O)CC3)cc21'],[1.],[0.90747134],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
